"","asin","asin_2","title_lower","chr_len_dynamic","real_name_norm","real_name_chr_len","is_the_same","need_fix","X..i.."
"15","B0BFBDBJK2","B0BFBDBJK2","bellissima imetec diffon ceramic & argan oil, diffusore ad aria calda per capelli ricci, tecnologia ceramica e olio di argan, 2 livelli aria/temperatura, asciugatura delicata, 700 w, idea regalo","194","0","1","FALSE","Fix Me Please My Lord",NA
"16","B09SGB55N4","B09SGB55N4",NA,NA,"0","1",NA,NA,NA
"17","B00N4K5PDK","B00N4K5PDK","bellissima imetec gh16 400 spazzola ad aria modellante con 2 accessori di styling, diametro 25 mm, potenza 400 w, 2 combinazioni flusso d'aria/temperatura, puntale antiscottatura","178","0","1","FALSE","Fix Me Please My Lord",NA
"18","B00SKVYB6K","B00SKVYB6K",NA,NA,"0","1",NA,NA,NA
"19","B00VRGPXF8","B00VRGPXF8",NA,NA,"0","1",NA,NA,NA
"20","B075RFR2CV","B075RFR2CV",NA,NA,"0","1",NA,NA,NA
"21","B06WP9PPT6","B06WP9PPT6",NA,NA,"0","1",NA,NA,NA
"22","B0B9HC9HSR","B0B9HC9HSR",NA,NA,"0","1",NA,NA,NA
"23","B07FYHM3QY","B07FYHM3QY","bellissima imetec magic straight brush pb11 100 spazzola elettrica lisciante, 3 lati esterni riscaldati, spegnimento automatico, tecnologia a ioni, ceramica, 160 c°- 210°c","171","0","1","FALSE","Fix Me Please My Lord",NA
"24","B07S5L9937","B07S5L9937",NA,NA,"0","1",NA,NA,NA
"25","B08X7BYVZQ","B08X7BYVZQ",NA,NA,"0","1",NA,NA,NA
"26","B015O6A6GM","B015O6A6GM",NA,NA,"0","1",NA,NA,NA
"27","B00O4QVS66","B00O4QVS66",NA,NA,"0","1",NA,NA,NA
"28","B07Y8DPHCL","B07Y8DPHCL","bellissima imetec p3 3400 asciugacapelli con motore ac professionale, tecnologia a ioni per capelli morbidi, idratati e luminosi, griglia rivestita in ceramica, 2400 w di potenza","178","0","1","FALSE","Fix Me Please My Lord",NA
"29","B00G3DNXIE","B00G3DNXIE","bellissima imetec s5 2200 asciugacapelli, 2200 w, asciugatura rapida e styling a lunga durata, 8 combinazioni aria/temperatura, colpo d'aria fredda","147","0","1","FALSE","Fix Me Please My Lord",NA
"30","B0BNL2X57R","B0BNL2X57R",NA,NA,"0","1",NA,NA,NA
"31","B09BJ7LNR6","B09BJ7LNR6",NA,NA,"0","1",NA,NA,NA
"32","B06WGV3DBP","B06WGV3DBP",NA,NA,"0","1",NA,NA,NA
"33","B08NKXBJX1","B08NKXBJX1",NA,NA,"0","1",NA,NA,NA
"34","B07JVLQ38M","B07JVLQ38M","bellissima my pro imetec ceramic p5 3800 asciugacapelli professionale per capelli morbidi e luminosi, tecnologia ceramica, potenza 2300 w, ionizzatore, diffusore e convogliatore ceramico","186","0","1","FALSE","Fix Me Please My Lord",NA
"35","B08LVXG2V1","B08LVXG2V1",NA,NA,"0","1",NA,NA,NA
"36","B07W3VJQZD","B07W3VJQZD",NA,NA,"0","1",NA,NA,NA
"37","B08J8XNFNC","B08J8XNFNC",NA,NA,"0","1",NA,NA,NA
"38","B08J8XCSH4","B08J8XCSH4",NA,NA,"0","1",NA,NA,NA
"39","B08J8XCSHB","B08J8XCSHB",NA,NA,"0","1",NA,NA,NA
"40","B08J8XN21F","B08J8XN21F",NA,NA,"0","1",NA,NA,NA
"41","B09CTZ6WKM","B09CTZ6WKM",NA,NA,"0","1",NA,NA,NA
"42","B09CTZZGFY","B09CTZZGFY",NA,NA,"0","1",NA,NA,NA
"43","B07S5L8VYG","B07S5L8VYG","bellissima my pro imetec magic style brush p2 30 spazzola riscaldata, capelli liscio effetto naturale/mosso sostenuto, diametro 30 mm, tecnologia a ioni, rivestimento ceramica","175","0","1","FALSE","Fix Me Please My Lord",NA
"44","B07FZ4PVRP","B07FZ4PVRP",NA,NA,"0","1",NA,NA,NA
"45","B08J8XH5BH","B08J8XH5BH",NA,NA,"0","1",NA,NA,NA
"46","B0BFGMJSV6","B0BFGMJSV6",NA,NA,"0","1",NA,NA,NA
"47","B015O6AFPE","B015O6AFPE",NA,NA,"0","1",NA,NA,NA
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","B093C19CSD","B093C19CSD",NA,NA,"0","1",NA,NA,NA
"50","B079Z9GXQS","B079Z9GXQS",NA,NA,"0","1",NA,NA,NA
"51","B0987D6J4J","B0987D6J4J",NA,NA,"0","1",NA,NA,NA
"52","B0987BBB14","B0987BBB14",NA,NA,"0","1",NA,NA,NA
"53","B0987C1JFD","B0987C1JFD",NA,NA,"0","1",NA,NA,NA
"54","B0987CNV93","B0987CNV93",NA,NA,"0","1",NA,NA,NA
"55","B0987B62CP","B0987B62CP",NA,NA,"0","1",NA,NA,NA
"56","B0987BTDT2","B0987BTDT2",NA,NA,"0","1",NA,NA,NA
"57","B0987D9K2X","B0987D9K2X",NA,NA,"0","1",NA,NA,NA
"58","B0987C6H2S","B0987C6H2S",NA,NA,"0","1",NA,NA,NA
"59","B08NPG5D5Y","B08NPG5D5Y",NA,NA,"0","1",NA,NA,NA
"60","B0BDVBHWWD","B0BDVBHWWD","imetec cakelover, impastatrice planetaria di 5 lt per dolci, creme, pizza, pane, pasta - 1500w, 6 velocità, con ciotola in acciaio inox, doppio gancio, fruste - design compatto, ricettario incluso","196","0","1","FALSE","Fix Me Please My Lord",NA
"61","B08JVC7VB4","B08JVC7VB4",NA,NA,"0","1",NA,NA,NA
"62","B08HS77R9B","B08HS77R9B",NA,NA,"0","1",NA,NA,NA
"63","B00FM266R2","B00FM266R2","imetec dolcevita es4 bilancia elettronica da cucina, pesa solidi e liquidi, contenitore estraibile, scala graduata, portata 5 kg, divisione 1 g, funzione tara, display digitale, spegnimento automatico","200","0","1","FALSE","Fix Me Please My Lord",NA
"64","B08NP5M6D4","B08NP5M6D4",NA,NA,"0","1",NA,NA,NA
"65","B09K7ZS81N","B09K7ZS81N",NA,NA,"0","1",NA,NA,NA
"66","B08NK25BLP","B08NK25BLP",NA,NA,"0","1",NA,NA,NA
"67","B08RYGFL21","B08RYGFL21",NA,NA,"0","1",NA,NA,NA
"68","B08NPF5HWD","B08NPF5HWD",NA,NA,"0","1",NA,NA,NA
"69","B09CYDKRZ6","B09CYDKRZ6","imetec frullafacile, frullatore a immersione, gambo xl, lame in acciaio inox, funzionamento a impulsi, bicchiere graduato da 700 ml bpa free, 800 w, impugnatura ergonomica","171","0","1","FALSE","Fix Me Please My Lord",NA
"70","B08NPR9BYM","B08NPR9BYM",NA,NA,"0","1",NA,NA,NA
"71","B09CYM6KR3","B09CYM6KR3",NA,NA,"0","1",NA,NA,NA
"72","B08JVCHZF3","B08JVCHZF3",NA,NA,"0","1",NA,NA,NA
"73","B08R7NSVL5","B08R7NSVL5",NA,NA,"0","1",NA,NA,NA
"74","B08XBZV29G","B08XBZV29G",NA,NA,"0","1",NA,NA,NA
"75","B08JV8FFYH","B08JV8FFYH",NA,NA,"0","1",NA,NA,NA
"76","B01JOL22Y2","B01JOL22Y2",NA,NA,"0","1",NA,NA,NA
"77","B08JV9VVQT","B08JV9VVQT",NA,NA,"0","1",NA,NA,NA
"78","B08JV7QK54","B08JV7QK54",NA,NA,"0","1",NA,NA,NA
"79","B08JV9LX42","B08JV9LX42",NA,NA,"0","1",NA,NA,NA
"80","B01LXNKQOL","B01LXNKQOL",NA,NA,"0","1",NA,NA,NA
"81","B0711KBY99","B0711KBY99",NA,NA,"0","1",NA,NA,NA
"82","B071451JHC","B071451JHC",NA,NA,"0","1",NA,NA,NA
"83","B0755CJFPL","B0755CJFPL",NA,NA,"0","1",NA,NA,NA
"84","B076998CD8","B076998CD8",NA,NA,"0","1",NA,NA,NA
"85","B08JV87TZW","B08JV87TZW",NA,NA,"0","1",NA,NA,NA
"86","B08R7NM2SF","B08R7NM2SF",NA,NA,"0","1",NA,NA,NA
"87","B08JV8L49M","B08JV8L49M",NA,NA,"0","1",NA,NA,NA
"88","B08NPR8QNN","B08NPR8QNN",NA,NA,"0","1",NA,NA,NA
"89","B08NK1L69Z","B08NK1L69Z",NA,NA,"0","1",NA,NA,NA
"90","B08NPMMFWQ","B08NPMMFWQ",NA,NA,"0","1",NA,NA,NA
"91","B0848JZ6KP","B0848JZ6KP",NA,NA,"0","1",NA,NA,NA
"92","B009E7CBIY","B009E7CBIY","bellissima imetec face cleansing spazzola per pulizia viso, deterge ed esfolia la pelle, kit con 5 testine intercambiabili, tecnologia a vibrazione sonica, impermeabile, beauty bag inclusa","188","0","1","FALSE","Fix Me Please My Lord",NA
"93","B00IRAFHB2","B00IRAFHB2",NA,NA,"0","1",NA,NA,NA
"94","B0BLCXY3J8","B0BLCXY3J8",NA,NA,"0","1",NA,NA,NA
"95","B0BLCZ42BG","B0BLCZ42BG",NA,NA,"0","1",NA,NA,NA
"96","B08J8ZLLDT","B08J8ZLLDT",NA,NA,"0","1",NA,NA,NA
"97","B08J8Z15M1","B08J8Z15M1",NA,NA,"0","1",NA,NA,NA
"98","B08J8ZH957","B08J8ZH957",NA,NA,"0","1",NA,NA,NA
"99","B08J8XJHNM","B08J8XJHNM",NA,NA,"0","1",NA,NA,NA
"100","B078RL1X78","B078RL1X78",NA,NA,"0","1",NA,NA,NA
"101","B09CTZV4TM","B09CTZV4TM",NA,NA,"0","1",NA,NA,NA
"102","B09CTZF711","B09CTZF711","imetec intellisense comfort, termoforo multiuso, cuscino termico, per schiena e addome, tasca per mani, rapido riscaldamento, tessuto anallergico, 5 temperature, electro block di sicurezza, lavabile","198","0","1","FALSE","Fix Me Please My Lord",NA
"103","B09KV6G5KT","B09KV6G5KT",NA,NA,"0","1",NA,NA,NA
"104","B09CTZM9LJ","B09CTZM9LJ","imetec intellisense xl, termoforo extra large schiena e gambe, cuscino termico, 38x50 cm, tessuto micro peluche, 5 temperature, electro block di sicurezza, riscaldamento rapido, lavabile in lavatrice","199","0","1","FALSE","Fix Me Please My Lord",NA
"105","B0B8JFYZ34","B0B8JFYZ34",NA,NA,"0","1",NA,NA,NA
"106","B07Y8GCMLG","B07Y8GCMLG",NA,NA,"0","1",NA,NA,NA
"107","B07Y8GH4K8","B07Y8GH4K8",NA,NA,"0","1",NA,NA,NA
"108","B07Y8GQVND","B07Y8GQVND","imetec scaldasonno adapto matrimoniale, basso consumo, riscaldamento rapido, temperatura personalizzata, tessuto trapuntato anallergico, made in italy, 2 comandi con 6 temperature, 150 x 160 cm","193","0","1","FALSE","Fix Me Please My Lord",NA
"109","B08J8XMFQN","B08J8XMFQN",NA,NA,"0","1",NA,NA,NA
"110","B09GTTY863","B09GTTY863",NA,NA,"0","1",NA,NA,NA
"111","B08HR23S41","B08HR23S41",NA,NA,"0","1",NA,NA,NA
"112","B08HR1VGSR","B08HR1VGSR",NA,NA,"0","1",NA,NA,NA
"113","B07Y8FDGDQ","B07Y8FDGDQ",NA,NA,"0","1",NA,NA,NA
"114","B07Y8GQMP5","B07Y8GQMP5","imetec scaldasonno adapto singolo 150 x 80 cm, basso consumo, riscaldamento rapido, temperatura personalizzata, 100% lana e merino, made in italy, tessuto antiscivolo, comando con 6 temperature","193","0","1","FALSE","Fix Me Please My Lord",NA
"115","B07Y8GR1WS","B07Y8GR1WS",NA,NA,"0","1",NA,NA,NA
"116","B07Y8FZ6GJ","B07Y8FZ6GJ",NA,NA,"0","1",NA,NA,NA
"117","B0056C02MI","B0056C02MI",NA,NA,"0","1",NA,NA,NA
"118","B00K6MR6JK","B00K6MR6JK",NA,NA,"0","1",NA,NA,NA
"119","B00M975Z7K","B00M975Z7K",NA,NA,"0","1",NA,NA,NA
"120","B0056BZZDA","B0056BZZDA",NA,NA,"0","1",NA,NA,NA
"121","B00A9269R2","B00A9269R2","imetec scaldasonno singolo, 150 x 80 cm, comando 2 temperature, tessuto trapuntato, lavabile a mano e in lavatrice a 30°c","121","0","1","FALSE","Fix Me Please My Lord",NA
"122","B07VGH4Z81","B07VGH4Z81","imetec body analizer es7 400 bilancia pesapersone diagnostica, misura acqua corporea, massa muscolare e grassa","110","0","1","FALSE","Fix Me Please My Lord",NA
"123","B07VC16GW8","B07VC16GW8","imetec compact es1 100 bilancia pesapersone elettronica compatta, design ultrasottile, ampio lcd display, portata max 150 kg","124","0","1","FALSE","Fix Me Please My Lord",NA
"124","B07W4JVN8S","B07W4JVN8S","imetec monitoring es9 300 bilancia pesapersone elettronica, monitoraggio trend grafico peso, 4 utenti, fino a 180 kg, lcd display, vetro temperato","146","0","1","FALSE","Fix Me Please My Lord",NA
"125","B07WBZC85N","B07WBZC85N","imetec precision es13 200 bilancia pesapersone elettronica, rivela anche le minime variazioni di peso, fino a 180 kg, lcd display, vetro temperato, batterie incluse","164","0","1","FALSE","Fix Me Please My Lord",NA
"126","B09N2JV9X3","B09N2JV9X3","imetec pro, bilancia pesapersone meccanica, rileva il peso in modo chiaro e affidabile, pedana antiscivolo, portata max 150 kg, divisione 1 kg, funzionamento analogico","167","0","1","FALSE","Fix Me Please My Lord",NA
"127","B0BCPB5TYQ","B0BCPB5TYQ","imetec activation ferro da stiro a vapore, piastra scorrevole in ceramica e tormalina, colpo vapore 200 g, tecnologia anticalcare zerocalc, antigoccia, eco, 2400 w","163","0","1","FALSE","Fix Me Please My Lord",NA
"128","B08V11MR92","B08V11MR92",NA,NA,"0","1",NA,NA,NA
"129","B09SDHHKJZ","B09SDHHKJZ","imetec intellifast, ferro da stiro a vapore, tecnologia intelli system, impostazione automatica della temperatura, piastra ceramic diamond, protezione anticalcare, 2400 w, colpo vapore 200 g","190","0","1","FALSE","Fix Me Please My Lord",NA
"130","B00GLSDCS2","B00GLSDCS2",NA,NA,"0","1",NA,NA,NA
"131","B08X6QMR36","B08X6QMR36","imetec onda f1, ferro da stiro a vapore con piastra a onde scorrevole brevettata, 2400 w, colpo di vapore 200g, serbatoio 300 ml, tripla protezione anticalcare","159","0","1","FALSE","Fix Me Please My Lord",NA
"132","B08HS4ZSMH","B08HS4ZSMH","imetec onda f2, ferro da stiro a vapore con piastra a onde scorrevole brevettata, 2400 w, colpo di vapore 200g, serbatoio 300 ml, tripla protezione anticalcare","159","0","1","FALSE","Fix Me Please My Lord",NA
"133","B08HS61FJ5","B08HS61FJ5","imetec onda p2 ferro da stiro generatore di vapore, piastra a onde scorrevole brevettata, 2400w, colpo vapore 300 g, serbatoio 2,5l, 3 filtri con ioni di argento, tecnologia no stop vapor","187","0","1","FALSE","Fix Me Please My Lord",NA
"134","B0B1QV8TWC","B0B1QV8TWC","imetec rapidvapor ferro da stiro generatore di vapore, piastra fluid ceramic a rapido riscaldamento, leggero, sistema di pulizia calc clean, colpo vapore 240 g, 2400 w, 5 bar pump","179","0","1","FALSE","Fix Me Please My Lord",NA
"135","B07S61V42S","B07S61V42S","imetec zerocalc kf1 100 kit 3 filtri anticalcare per ferri da stiro imetec zerocalc pro ceramic ps2 2400, ps2 2000, ps2 2200, intellivapor ps3 3000, imetec onda, ricambi originali","179","0","1","FALSE","Fix Me Please My Lord",NA
"136","B07P35DTPJ","B07P35DTPJ","imetec zerocalc ps1 2000 ferro da stiro compatto, 3.8 bar, tecnologia anticalcare e a risparmio energetico, ricarica continua, vapore pronto in 1 minuto, 2100 w, serbatoio xl da 1 l","181","0","1","FALSE","Fix Me Please My Lord",NA
"137","B07CKY9SNZ","B07CKY9SNZ","imetec zerocalc z1 2500 ferro da stiro, tecnologia anticalcare, piastra inox 2200 w, colpo vapore 120 g","103","0","1","FALSE","Fix Me Please My Lord",NA
"138","B07PPC54RD","B07PPC54RD","imetec zerocalc z1 2800 ferro da stiro con tecnologia anticalcare, piastra ceramica ad alta scorrevolezza, tecnologia a risparmio energetico, 2200 w, colpo vapore 130 g","168","0","1","FALSE","Fix Me Please My Lord",NA
"139","B07CKRCMB7","B07CKRCMB7","imetec zerocalc z3 3500 ferro da stiro, tecnologia anticalcare, piastra inox 2400 w, colpo vapore 150 g","103","0","1","FALSE","Fix Me Please My Lord",NA
"140","B07MZGRDJ4","B07MZGRDJ4","imetec zerocalc z3 3700 ferro da stiro, tecnologia anticalcare, piastra ceramica ad alta scorrevolezza, 2400w, colpo vapore 160 g, 0,3 litri, dispositivo antigoccia tecnologia a risparmio energetico","198","0","1","FALSE","Fix Me Please My Lord",NA
"141","B07NYRRF1Y","B07NYRRF1Y","imetec zerocalc z3 3900 ferro da stiro a vapore, tecnologia anticalcare, tecnologia intellivapor (temperatura unica ideale per tutti i tessuti), piastra ceramica, 2400 w, colpo vapore 170 g","189","0","1","FALSE","Fix Me Please My Lord",NA
